id,profile_url,name,first_name,company,profile_url.1,company_website,headline,about_snippet,location,industry,employee_count,quality_score,icp_score,icp_signal_type,signal_text,source,scrapin_profile_json,scrapin_fetched_at,posts_data,inferred_pain_points,msg_connection_note,msg_first_dm,msg_followup_day7,msg_followup_day14,msg_followup_day21,msg_followup_day28,pipeline_stage,enrichment_status,created_at,updated_at,msg_word_count_note,msg_word_count_dm
692ba780-e64f-4937-ba54-814294fd3971,https://www.linkedin.com/in/rishabhlab,Rishabh Labh,Rishabh,Rippling India,https://www.linkedin.com/in/rishabhlab,https://www.rippling.com/in,Founder & CEO at Rippling India,,India,HR Tech / SaaS,10.0,,100,,India expansion of US unicorn — building local product team,LinkedIn/Crunchbase,,,,PM backlog growing as team scales | Product decisions delayed waiting for founder bandwidth | No structured sprint or roadmap process,"Rishabh, saw how Rippling India is scaling. What you're building at Rippling India looks interesting. Curious how you're managing product delivery?","Rishabh, spent time on Rippling India's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Rishabh, not trying to be pushy — just thinking about Rippling India's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Rishabh, one more thought: Rippling India is solving what you're building at Rippling India — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Rishabh, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Rippling India.","Rishabh, last note from me — leaving the door open whenever the timing works. Loved what you're building at Rippling India.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,21,37
2e9426fd-a214-41cc-ad44-9a4a428d3645,https://www.linkedin.com/in/alymurray,Aly Murray,Aly,UPchieve,https://www.linkedin.com/in/alymurray,https://www.upchieve.org,Founder/CEO at UPchieve (YC W21),"Connecting low-income HS students with free, 24/7 online tutoring",United States,Technology,15.0,,100,,"Connecting low-income HS students with free, 24/7 online tutoring. UPchieve is an edtech nonprofit that provides free, 24/7 online tutoring to low-income HS students",YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~15 people) with increasing coordination complexity","Aly, saw how UPchieve is scaling. What you're building at UPchieve looks interesting. Curious how you're managing product delivery?","Aly, spent time on UPchieve's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Aly, not trying to be pushy — just thinking about UPchieve's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Aly, one more thought: UPchieve is solving what you're building at UPchieve — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Aly, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for UPchieve.","Aly, last note from me — leaving the door open whenever the timing works. Loved what you're building at UPchieve.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
02c1498e-bf5a-451d-8dbf-59d9d2795f3c,https://www.linkedin.com/in/petefishman,Peter Fishman,Peter,Mozart Data,https://www.linkedin.com/in/petefishman,http://www.mozartdata.com,Founder/CEO at Mozart Data (YC S20),The easiest way to set up a modern data stack,United States,"SaaS, B2B",24.0,,100,,"The easiest way to set up a modern data stack. Mozart Data provides an out-of-the-box modern data stack that empowers anyone to easily consolidate, organize, and prepare their data for analysis",YC S20,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~24 people) with increasing coordination complexity","Peter, saw how Mozart Data is scaling. What you're building at Mozart Data looks interesting. Curious how you're managing product delivery?","Peter, spent time on Mozart Data's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Peter, not trying to be pushy — just thinking about Mozart Data's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Peter, one more thought: Mozart Data is solving what you're building at Mozart Data — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Peter, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Mozart Data.","Peter, last note from me — leaving the door open whenever the timing works. Loved what you're building at Mozart Data.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,21,37
d3f9c783-c3fc-43c2-b6d9-4bab7dc7e5b1,https://www.linkedin.com/in/marcandrecampagna,Marc-André Campagna,Marc-André,Gaiia,https://www.linkedin.com/in/marcandrecampagna,http://gaiia.com,Founder/CEO at Gaiia (YC W21),all-in-one operating system (OS) for telcos,United States,Technology,40.0,,100,,all-in-one operating system (OS) for telcos,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~40 people) with increasing coordination complexity","Marc-André, saw how Gaiia is scaling. What you're building at Gaiia looks interesting. Curious how you're managing product delivery?","Marc-André, spent time on Gaiia's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Marc-André, not trying to be pushy — just thinking about Gaiia's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Marc-André, one more thought: Gaiia is solving what you're building at Gaiia — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Marc-André, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Gaiia.","Marc-André, last note from me — leaving the door open whenever the timing works. Loved what you're building at Gaiia.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
344a465d-1380-4354-918e-aadbbaa8968a,https://www.linkedin.com/in/lydiajhan,Lydia Han,Lydia,ModernLoop,https://www.linkedin.com/in/lydiajhan,http://modernloop.io,Founder/CEO at ModernLoop (YC W21),ModernLoop helps teams automate and streamline recruiting operations,United States,"B2B, Productivity, HR Tech",15.0,,100,,ModernLoop helps teams automate and streamline recruiting operations. ModernLoop helps every company automate and streamline recruiting operations to deliver the best candidate experience,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~15 people) with increasing coordination complexity","Lydia, saw how ModernLoop is scaling. What you're building at ModernLoop looks interesting. Curious how you're managing product delivery?","Lydia, spent time on ModernLoop's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Lydia, not trying to be pushy — just thinking about ModernLoop's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Lydia, one more thought: ModernLoop is solving what you're building at ModernLoop — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Lydia, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for ModernLoop.","Lydia, last note from me — leaving the door open whenever the timing works. Loved what you're building at ModernLoop.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
a0991a61-9a30-4180-b7ef-5dbc18e0b46f,https://www.linkedin.com/in/aidan-dewar-018152ab,Aidan Dewar,Aidan,Nourish,https://www.linkedin.com/in/aidan-dewar-018152ab,https://usenourish.com,Founder/CEO at Nourish (YC W21),Telehealth dietitians covered by insurance,United States,Technology,38.0,,100,,Telehealth dietitians covered by insurance. Nourish is solving America's healthcare crisis by helping people eat better,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~38 people) with increasing coordination complexity","Aidan, saw how Nourish is scaling. What you're building at Nourish looks interesting. Curious how you're managing product delivery?","Aidan, spent time on Nourish's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Aidan, not trying to be pushy — just thinking about Nourish's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Aidan, one more thought: Nourish is solving what you're building at Nourish — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Aidan, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Nourish.","Aidan, last note from me — leaving the door open whenever the timing works. Loved what you're building at Nourish.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
195493e0-5316-4992-b2e7-e01385860405,https://www.linkedin.com/in/mraakashshah,Aakash Shah,Aakash,Wyndly,https://www.linkedin.com/in/mraakashshah,https://www.wyndly.com,Founder/CEO at Wyndly (YC W21),Life's better without allergies,United States,Technology,10.0,,100,,Life's better without allergies. Wyndly (https://www,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~10 people) with increasing coordination complexity","Aakash, saw how Wyndly is scaling. What you're building at Wyndly looks interesting. Curious how you're managing product delivery?","Aakash, spent time on Wyndly's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Aakash, not trying to be pushy — just thinking about Wyndly's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Aakash, one more thought: Wyndly is solving what you're building at Wyndly — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Aakash, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Wyndly.","Aakash, last note from me — leaving the door open whenever the timing works. Loved what you're building at Wyndly.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
08a52e04-23ca-498b-bf3d-62a233a84296,https://www.linkedin.com/in/daniel-velez-santiago,Juan Daniel Velez Santiago,Juan,Terapify,https://www.linkedin.com/in/daniel-velez-santiago,https://www.terapify.com,Founder/CEO at Terapify (YC W21),Online therapy platform for the Spanish-speaking market,United States,Technology,15.0,,100,,Online therapy platform for the Spanish-speaking market. Terapify offers high-quality on-demand mental healthcare for individuals and businesses,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~15 people) with increasing coordination complexity","Juan, saw how Terapify is scaling. What you're building at Terapify looks interesting. Curious how you're managing product delivery?","Juan, spent time on Terapify's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Juan, not trying to be pushy — just thinking about Terapify's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Juan, one more thought: Terapify is solving what you're building at Terapify — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Juan, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Terapify.","Juan, last note from me — leaving the door open whenever the timing works. Loved what you're building at Terapify.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
5849b950-b19f-49c0-bd73-6ac82532bab5,https://www.linkedin.com/in/santiba,Rodrigo Santibanez,Rodrigo,ControlHub,https://www.linkedin.com/in/santiba,https://controlhub.com/,Founder/CEO at ControlHub (YC W21),Purchasing Software | Procure-to-Pay SaaS,United States,"Fintech, SaaS, B2B",22.0,,100,,Purchasing Software | Procure-to-Pay SaaS . ControlHub automates the Procurement and Accounts Payable process of mid-size companies with intuitive purchasing software and AP solutions,YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~22 people) with increasing coordination complexity","Rodrigo, saw how ControlHub is scaling. What you're building at ControlHub looks interesting. Curious how you're managing product delivery?","Rodrigo, spent time on ControlHub's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Rodrigo, not trying to be pushy — just thinking about ControlHub's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Rodrigo, one more thought: ControlHub is solving what you're building at ControlHub — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Rodrigo, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for ControlHub.","Rodrigo, last note from me — leaving the door open whenever the timing works. Loved what you're building at ControlHub.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,19,36
1c6e37bf-031a-416d-92ec-886538332f33,https://www.linkedin.com/in/neddwyer,Ned Dwyer,Ned,Great Question,https://www.linkedin.com/in/neddwyer,https://greatquestion.co,Founder/CEO at Great Question (YC W21),User research on autopilot.,United States,"SaaS, B2B",50.0,,100,,"User research on autopilot. . Great Question puts customer research on autopilot - from recruiting participants, scheduling interviews, sending surveys or prototype tests - and sharing what you learn with your team",YC W21,,,,"Founder/CEO likely juggling product decisions, hiring, and operations without a PM | Growing team (~50 people) with increasing coordination complexity","Ned, saw how Great Question is scaling. What you're building at Great Question looks interesting. Curious how you're managing product delivery?","Ned, spent time on Great Question's product — genuinely interesting problem space. How are you currently handling product delivery as the team scales? Happy to share what fractional PM support looks like — no full-time hire needed.","Ned, not trying to be pushy — just thinking about Great Question's roadmap. What does your current delivery process look like? Happy to share what's worked for similar-stage teams without any commitment.","Ned, one more thought: Great Question is solving what you're building at Great Question — that kind of product velocity needs tight PM support. Would a quick 15-min call make sense?","Ned, if the timing isn't right for fractional PM support, no worries at all — would you know another founder in a similar situation? Either way, rooting for Great Question.","Ned, last note from me — leaving the door open whenever the timing works. Loved what you're building at Great Question.",Found,migrated,2026-03-11 17:24:53.303771+00:00,2026-03-11 17:24:53.303771+00:00,21,37
